time,current,Ah,Ah_cumsum
50.0,100,0.027777777777777776,-0.41666666666666674
51.0,100,0.027777777777777776,-0.38888888888888895
52.0,100,0.027777777777777776,-0.36111111111111116
53.0,100,0.027777777777777776,-0.33333333333333337
54.0,100,0.027777777777777776,-0.3055555555555556
55.0,200,0.05555555555555555,-0.25
56.0,200,0.05555555555555555,-0.19444444444444445
57.0,400,0.1111111111111111,-0.08333333333333334
58.00000000000001,400,0.1111111111111111,0.027777777777777762
59.00000000000001,400,0.1111111111111111,0.13888888888888887
60.00000000000001,400,0.1111111111111111,0.24999999999999997
61.00000000000001,400,0.1111111111111111,0.36111111111111105
62.00000000000001,300,0.08333333333333333,0.44444444444444436
63.00000000000001,200,0.05555555555555555,0.4999999999999999
64.0,200,0.05555555555555555,0.5555555555555555
65.0,200,0.05555555555555555,0.611111111111111
66.0,200,0.05555555555555555,0.6666666666666666
67.0,100,0.027777777777777776,0.6944444444444444
68.0,100,0.027777777777777776,0.7222222222222222
