time,current,Ah,Ah_cumsum
3.0,100,0.027777777777777776,0.027777777777777776
4.0,100,0.027777777777777776,0.05555555555555555
5.0,100,0.027777777777777776,0.08333333333333333
6.0,100,0.027777777777777776,0.1111111111111111
7.0,200,0.05555555555555555,0.16666666666666666
8.0,200,0.05555555555555555,0.2222222222222222
9.0,200,0.05555555555555555,0.2777777777777778
10.0,200,0.05555555555555555,0.33333333333333337
11.0,300,0.08333333333333333,0.4166666666666667
12.0,300,0.08333333333333333,0.5
13.0,200,0.05555555555555555,0.5555555555555556
14.0,200,0.05555555555555555,0.6111111111111112
15.000000000000002,100,0.027777777777777776,0.638888888888889
16.0,100,0.027777777777777776,0.6666666666666667
17.0,100,0.027777777777777776,0.6944444444444445
